step:3812/4768 | loss 0.110302 | train_time:16376.11s | step_avg:4294.81ms
step:3813/4768 | loss 0.110037 | train_time:16380.39s | step_avg:4294.81ms
step:3814/4768 | loss 0.110711 | train_time:16385.11s | step_avg:4294.92ms
step:3815/4768 | loss 0.110410 | train_time:16389.39s | step_avg:4294.91ms
step:3816/4768 | loss 0.112163 | train_time:16393.67s | step_avg:4294.91ms
step:3817/4768 | loss 0.111120 | train_time:16397.95s | step_avg:4294.91ms
step:3818/4768 | loss 0.111884 | train_time:16402.23s | step_avg:4294.90ms
step:3819/4768 | loss 0.111901 | train_time:16406.51s | step_avg:4294.90ms
step:3820/4768 | loss 0.112063 | train_time:16410.79s | step_avg:4294.89ms
step:3821/4768 | loss 0.111158 | train_time:16415.07s | step_avg:4294.89ms
step:3822/4768 | loss 0.112277 | train_time:16419.35s | step_avg:4294.89ms
step:3823/4768 | loss 0.110058 | train_time:16423.63s | step_avg:4294.88ms
step:3824/4768 | loss 0.111298 | train_time:16427.91s | step_avg:4294.88ms
step:3825/4768 | loss 0.109524 | train_time:16432.19s | step_avg:4294.87ms
step:3826/4768 | loss 0.113480 | train_time:16436.47s | step_avg:4294.87ms
step:3827/4768 | loss 0.110618 | train_time:16440.75s | step_avg:4294.87ms
step:3828/4768 | loss 0.112183 | train_time:16445.03s | step_avg:4294.86ms
step:3829/4768 | loss 0.110921 | train_time:16449.31s | step_avg:4294.86ms
step:3830/4768 | loss 0.109924 | train_time:16453.59s | step_avg:4294.85ms
step:3831/4768 | loss 0.111588 | train_time:16457.87s | step_avg:4294.85ms
step:3832/4768 | loss 0.111142 | train_time:16462.15s | step_avg:4294.85ms
step:3833/4768 | loss 0.110589 | train_time:16466.43s | step_avg:4294.84ms
step:3834/4768 | loss 0.110592 | train_time:16470.71s | step_avg:4294.84ms
step:3835/4768 | loss 0.109105 | train_time:16474.99s | step_avg:4294.84ms
step:3836/4768 | loss 0.110563 | train_time:16479.26s | step_avg:4294.83ms
step:3837/4768 | loss 0.110387 | train_time:16483.55s | step_avg:4294.83ms
step:3838/4768 | loss 0.110652 | train_time:16487.83s | step_avg:4294.82ms
step:3839/4768 | loss 0.110049 | train_time:16492.11s | step_avg:4294.82ms
step:3840/4768 | val loss 3.536824
step:3840/4768 | loss 0.112197 | train_time:16496.40s | step_avg:4294.82ms
step:3841/4768 | loss 0.111627 | train_time:16500.68s | step_avg:4294.81ms
step:3842/4768 | loss 0.111565 | train_time:16504.96s | step_avg:4294.81ms
step:3843/4768 | loss 0.110060 | train_time:16509.24s | step_avg:4294.81ms
step:3844/4768 | loss 0.112668 | train_time:16513.52s | step_avg:4294.80ms
step:3845/4768 | loss 0.112131 | train_time:16517.80s | step_avg:4294.80ms
step:3846/4768 | loss 0.112295 | train_time:16522.07s | step_avg:4294.79ms
step:3847/4768 | loss 0.111622 | train_time:16526.35s | step_avg:4294.79ms
step:3848/4768 | loss 0.108791 | train_time:16530.63s | step_avg:4294.79ms
step:3849/4768 | loss 0.109449 | train_time:16534.91s | step_avg:4294.78ms
step:3850/4768 | loss 0.111544 | train_time:16539.19s | step_avg:4294.78ms
step:3851/4768 | loss 0.113045 | train_time:16543.47s | step_avg:4294.77ms
step:3852/4768 | loss 0.116890 | train_time:16547.75s | step_avg:4294.77ms
step:3853/4768 | loss 0.112799 | train_time:16552.03s | step_avg:4294.77ms
step:3854/4768 | loss 0.111610 | train_time:16556.31s | step_avg:4294.76ms
step:3855/4768 | loss 0.111547 | train_time:16560.59s | step_avg:4294.76ms
step:3856/4768 | loss 0.110987 | train_time:16564.87s | step_avg:4294.75ms
step:3857/4768 | loss 0.110805 | train_time:16569.15s | step_avg:4294.75ms
step:3858/4768 | loss 0.111177 | train_time:16573.43s | step_avg:4294.75ms
step:3859/4768 | loss 0.109267 | train_time:16577.71s | step_avg:4294.74ms
step:3860/4768 | loss 0.111291 | train_time:16581.99s | step_avg:4294.74ms
step:3861/4768 | loss 0.112423 | train_time:16586.27s | step_avg:4294.74ms
step:3862/4768 | loss 0.109920 | train_time:16590.55s | step_avg:4294.73ms
step:3863/4768 | loss 0.110579 | train_time:16594.83s | step_avg:4294.73ms
step:3864/4768 | loss 0.111579 | train_time:16599.11s | step_avg:4294.72ms
step:3865/4768 | loss 0.110133 | train_time:16603.39s | step_avg:4294.72ms
step:3866/4768 | loss 0.111735 | train_time:16607.67s | step_avg:4294.72ms
step:3867/4768 | loss 0.111279 | train_time:16611.94s | step_avg:4294.71ms
step:3868/4768 | loss 0.110674 | train_time:16616.22s | step_avg:4294.71ms
step:3869/4768 | loss 0.110249 | train_time:16620.49s | step_avg:4294.70ms
step:3870/4768 | loss 0.111035 | train_time:16624.77s | step_avg:4294.70ms
step:3871/4768 | loss 0.108481 | train_time:16629.05s | step_avg:4294.69ms
step:3872/4768 | loss 0.110612 | train_time:16633.32s | step_avg:4294.69ms
step:3873/4768 | loss 0.114338 | train_time:16637.59s | step_avg:4294.68ms
step:3874/4768 | loss 0.110661 | train_time:16641.87s | step_avg:4294.68ms
step:3875/4768 | loss 0.112894 | train_time:16646.14s | step_avg:4294.67ms
step:3876/4768 | loss 0.113185 | train_time:16650.42s | step_avg:4294.67ms
step:3877/4768 | loss 0.111407 | train_time:16654.69s | step_avg:4294.66ms
step:3878/4768 | loss 0.110935 | train_time:16658.96s | step_avg:4294.65ms
step:3879/4768 | loss 0.113089 | train_time:16663.24s | step_avg:4294.65ms
step:3880/4768 | loss 0.112371 | train_time:16667.51s | step_avg:4294.64ms
step:3881/4768 | loss 0.113948 | train_time:16671.79s | step_avg:4294.64ms
step:3882/4768 | loss 0.110224 | train_time:16676.06s | step_avg:4294.63ms
step:3883/4768 | loss 0.109217 | train_time:16680.33s | step_avg:4294.63ms
step:3884/4768 | loss 0.110325 | train_time:16684.61s | step_avg:4294.62ms
step:3885/4768 | loss 0.111545 | train_time:16688.88s | step_avg:4294.62ms
step:3886/4768 | loss 0.110500 | train_time:16693.16s | step_avg:4294.61ms
step:3887/4768 | loss 0.112338 | train_time:16697.43s | step_avg:4294.61ms
step:3888/4768 | loss 0.112252 | train_time:16701.71s | step_avg:4294.60ms
step:3889/4768 | loss 0.109990 | train_time:16705.98s | step_avg:4294.60ms
step:3890/4768 | loss 0.110524 | train_time:16710.27s | step_avg:4294.59ms
step:3891/4768 | loss 0.111414 | train_time:16714.54s | step_avg:4294.59ms
step:3892/4768 | loss 0.110085 | train_time:16718.82s | step_avg:4294.58ms
step:3893/4768 | loss 0.110119 | train_time:16723.09s | step_avg:4294.58ms
step:3894/4768 | loss 0.111077 | train_time:16727.36s | step_avg:4294.57ms
step:3895/4768 | loss 0.111539 | train_time:16731.64s | step_avg:4294.57ms
step:3896/4768 | loss 0.110759 | train_time:16735.91s | step_avg:4294.56ms
step:3897/4768 | loss 0.109978 | train_time:16740.18s | step_avg:4294.56ms
step:3898/4768 | loss 0.111338 | train_time:16744.46s | step_avg:4294.55ms
step:3899/4768 | loss 0.111034 | train_time:16748.73s | step_avg:4294.55ms
step:3900/4768 | loss 0.113399 | train_time:16753.00s | step_avg:4294.54ms
step:3901/4768 | loss 0.110375 | train_time:16757.28s | step_avg:4294.54ms
step:3902/4768 | loss 0.111378 | train_time:16761.55s | step_avg:4294.53ms
step:3903/4768 | loss 0.109907 | train_time:16765.82s | step_avg:4294.52ms
step:3904/4768 | loss 0.110140 | train_time:16770.09s | step_avg:4294.52ms
step:3905/4768 | loss 0.110139 | train_time:16774.36s | step_avg:4294.51ms
step:3906/4768 | loss 0.110352 | train_time:16778.63s | step_avg:4294.51ms
step:3907/4768 | loss 0.109895 | train_time:16782.91s | step_avg:4294.50ms
step:3908/4768 | loss 0.111697 | train_time:16787.18s | step_avg:4294.49ms
step:3909/4768 | loss 0.113878 | train_time:16791.46s | step_avg:4294.49ms
step:3910/4768 | loss 0.109632 | train_time:16795.73s | step_avg:4294.48ms
step:3911/4768 | loss 0.110895 | train_time:16800.00s | step_avg:4294.48ms
step:3912/4768 | loss 0.111365 | train_time:16804.29s | step_avg:4294.48ms
step:3913/4768 | loss 0.110364 | train_time:16808.57s | step_avg:4294.47ms
step:3914/4768 | loss 0.110488 | train_time:16812.84s | step_avg:4294.47ms
step:3915/4768 | loss 0.110556 | train_time:16817.11s | step_avg:4294.46ms
step:3916/4768 | loss 0.110026 | train_time:16821.38s | step_avg:4294.46ms
step:3917/4768 | loss 0.114396 | train_time:16825.66s | step_avg:4294.45ms
step:3918/4768 | loss 0.110818 | train_time:16829.93s | step_avg:4294.45ms
step:3919/4768 | loss 0.110824 | train_time:16834.21s | step_avg:4294.44ms
step:3920/4768 | loss 0.110580 | train_time:16838.48s | step_avg:4294.44ms
step:3921/4768 | loss 0.110632 | train_time:16842.76s | step_avg:4294.43ms
step:3922/4768 | loss 0.112360 | train_time:16847.04s | step_avg:4294.43ms
step:3923/4768 | loss 0.111340 | train_time:16851.31s | step_avg:4294.42ms
step:3924/4768 | loss 0.110223 | train_time:16855.58s | step_avg:4294.42ms
step:3925/4768 | loss 0.110435 | train_time:16859.86s | step_avg:4294.41ms
step:3926/4768 | loss 0.115094 | train_time:16864.13s | step_avg:4294.41ms
step:3927/4768 | loss 0.110517 | train_time:16868.41s | step_avg:4294.40ms
step:3928/4768 | loss 0.110893 | train_time:16872.68s | step_avg:4294.40ms
step:3929/4768 | loss 0.116432 | train_time:16876.96s | step_avg:4294.39ms
step:3930/4768 | loss 0.110511 | train_time:16881.23s | step_avg:4294.39ms
step:3931/4768 | loss 0.111795 | train_time:16885.51s | step_avg:4294.38ms
step:3932/4768 | loss 0.109772 | train_time:16889.78s | step_avg:4294.38ms
step:3933/4768 | loss 0.111607 | train_time:16894.06s | step_avg:4294.37ms
step:3934/4768 | loss 0.110780 | train_time:16898.33s | step_avg:4294.37ms
step:3935/4768 | loss 0.109998 | train_time:16902.61s | step_avg:4294.36ms
step:3936/4768 | loss 0.110345 | train_time:16906.88s | step_avg:4294.36ms
step:3937/4768 | loss 0.111178 | train_time:16911.16s | step_avg:4294.35ms
step:3938/4768 | loss 0.110597 | train_time:16915.43s | step_avg:4294.35ms
step:3939/4768 | loss 0.112738 | train_time:16919.70s | step_avg:4294.34ms
step:3940/4768 | loss 0.110924 | train_time:16923.97s | step_avg:4294.34ms
step:3941/4768 | loss 0.110143 | train_time:16928.25s | step_avg:4294.33ms
step:3942/4768 | loss 0.112454 | train_time:16932.52s | step_avg:4294.32ms
step:3943/4768 | loss 0.112118 | train_time:16936.79s | step_avg:4294.32ms
step:3944/4768 | loss 0.111001 | train_time:16941.06s | step_avg:4294.31ms
step:3945/4768 | loss 0.112034 | train_time:16945.34s | step_avg:4294.31ms
step:3946/4768 | loss 0.109914 | train_time:16949.61s | step_avg:4294.30ms
step:3947/4768 | loss 0.108445 | train_time:16953.89s | step_avg:4294.30ms
step:3948/4768 | loss 0.114063 | train_time:16958.17s | step_avg:4294.30ms
step:3949/4768 | loss 0.115059 | train_time:16962.45s | step_avg:4294.29ms
step:3950/4768 | loss 0.109994 | train_time:16966.73s | step_avg:4294.29ms
step:3951/4768 | loss 0.111192 | train_time:16971.01s | step_avg:4294.29ms
step:3952/4768 | loss 0.106068 | train_time:16975.30s | step_avg:4294.28ms
step:3953/4768 | loss 0.107711 | train_time:16979.58s | step_avg:4294.28ms
step:3954/4768 | loss 0.109170 | train_time:16983.86s | step_avg:4294.27ms
step:3955/4768 | loss 0.110617 | train_time:16988.13s | step_avg:4294.27ms
step:3956/4768 | loss 0.111867 | train_time:16992.41s | step_avg:4294.27ms
step:3957/4768 | loss 0.110817 | train_time:16996.69s | step_avg:4294.26ms
step:3958/4768 | loss 0.111728 | train_time:17000.97s | step_avg:4294.26ms
step:3959/4768 | loss 0.111138 | train_time:17005.25s | step_avg:4294.26ms
step:3960/4768 | loss 0.110958 | train_time:17009.53s | step_avg:4294.25ms
step:3961/4768 | loss 0.111110 | train_time:17013.81s | step_avg:4294.25ms
step:3962/4768 | loss 0.110790 | train_time:17018.09s | step_avg:4294.24ms
step:3963/4768 | loss 0.109972 | train_time:17022.37s | step_avg:4294.24ms
step:3964/4768 | loss 0.109841 | train_time:17026.65s | step_avg:4294.24ms
step:3965/4768 | loss 0.109326 | train_time:17030.93s | step_avg:4294.23ms
step:3966/4768 | loss 0.111122 | train_time:17035.21s | step_avg:4294.23ms
step:3967/4768 | loss 0.109981 | train_time:17039.48s | step_avg:4294.22ms
step:3968/4768 | val loss 3.524211
step:3968/4768 | loss 0.112620 | train_time:17043.77s | step_avg:4294.22ms
step:3969/4768 | loss 0.111651 | train_time:17048.05s | step_avg:4294.22ms
step:3970/4768 | loss 0.108978 | train_time:17052.33s | step_avg:4294.22ms
step:3971/4768 | loss 0.110492 | train_time:17056.61s | step_avg:4294.21ms
step:3972/4768 | loss 0.110801 | train_time:17060.89s | step_avg:4294.21ms
step:3973/4768 | loss 0.110326 | train_time:17065.17s | step_avg:4294.20ms
step:3974/4768 | loss 0.110142 | train_time:17069.45s | step_avg:4294.20ms
